N,P,K,temperature,humidity,ph,rainfall,label
79.4,59.0,42.3,24.59,82.34,5.28,186.97,rice
91.7,52.0,42.1,21.12,94.55,6.5,205.48,rice
74.5,43.7,38.0,24.15,86.48,5.52,253.42,rice
73.5,45.8,38.7,23.74,91.78,5.36,241.71,rice
84.8,40.9,41.1,22.02,80.98,6.71,295.88,rice
90.2,46.1,36.0,25.11,86.6,5.22,239.42,rice
70.9,58.2,37.6,24.98,84.68,5.94,245.61,rice
74.6,59.4,42.8,26.64,93.42,6.08,290.62,rice
72.2,43.9,35.5,22.95,85.83,5.49,279.45,rice
78.9,45.6,40.4,21.85,92.03,5.13,298.43,rice
89.3,44.0,35.1,25.89,90.6,6.31,272.55,rice
71.9,47.2,36.2,26.18,89.35,5.6,187.63,rice
77.8,46.5,42.3,24.83,93.31,5.85,194.35,rice
87.8,55.2,40.6,25.63,87.41,5.94,231.3,rice
70.6,42.2,35.3,24.82,84.72,5.92,288.91,rice
76.2,48.2,42.6,22.37,81.15,5.52,199.35,rice
93.2,56.2,41.3,26.23,92.06,5.34,287.11,rice
83.5,56.1,44.0,22.91,81.65,5.41,231.25,rice
90.5,57.2,35.1,24.06,86.26,5.4,194.38,rice
78.4,58.9,38.2,24.11,90.55,5.65,296.61,rice
94.1,45.0,40.0,22.81,84.27,5.07,253.15,rice
82.6,41.0,37.8,26.45,83.59,5.26,238.73,rice
94.6,44.8,41.7,25.57,83.56,6.31,224.13,rice
85.8,52.7,40.4,21.54,92.53,5.58,202.38,rice
71.0,51.8,41.8,21.1,87.68,5.41,257.42,rice
74.4,53.8,38.9,26.62,82.06,5.61,193.62,rice
93.1,57.5,37.6,24.96,92.26,6.0,243.56,rice
76.0,41.9,44.0,26.4,89.5,5.61,221.91,rice
88.1,57.9,43.9,25.68,89.63,5.15,199.4,rice
92.5,52.1,35.1,21.61,89.95,5.01,199.3,rice
83.7,53.8,41.5,22.35,90.68,5.43,219.05,rice
88.7,53.0,43.5,24.95,88.52,5.17,224.13,rice
76.6,44.9,44.7,23.36,93.38,6.14,275.38,rice
82.6,51.5,39.9,22.17,90.84,5.51,182.92,rice
86.1,43.5,44.4,26.72,93.72,5.67,181.85,rice
93.2,48.6,44.7,26.78,92.8,5.53,226.21,rice
91.3,46.3,36.7,24.34,94.04,6.25,248.41,rice
72.4,52.3,44.9,21.84,87.77,6.58,268.89,rice
87.4,54.0,38.6,22.76,92.14,6.46,284.05,rice
92.8,50.2,40.0,25.79,89.75,6.26,275.5,rice
92.3,46.8,38.8,21.56,88.67,5.06,235.87,rice
83.6,45.7,40.9,21.18,80.56,6.48,223.22,rice
73.2,50.4,42.7,22.29,89.34,5.15,186.2,rice
83.3,50.8,41.4,25.36,94.64,5.93,218.75,rice
89.9,45.4,39.4,21.47,80.38,6.73,280.32,rice
87.4,48.2,36.7,21.94,83.75,5.99,265.75,rice
86.5,45.6,44.5,25.43,88.32,6.1,230.35,rice
76.2,47.1,42.6,21.09,81.74,5.08,184.89,rice
91.4,54.1,39.7,21.59,87.37,5.85,200.78,rice
80.8,48.0,41.2,24.81,80.68,5.67,255.1,rice
82.6,57.1,41.6,21.98,81.06,6.16,183.18,rice
84.6,58.8,40.8,23.33,89.65,5.82,245.47,rice
93.5,47.7,44.6,26.43,82.94,5.12,192.09,rice
70.5,41.9,41.8,21.43,84.78,6.52,182.79,rice
90.4,45.6,36.2,25.18,89.43,6.58,268.21,rice
90.1,45.6,36.8,25.5,92.1,6.78,229.51,rice
79.3,55.5,38.4,26.58,92.88,5.77,270.1,rice
88.9,42.1,44.0,24.03,92.4,5.58,287.46,rice
79.7,40.2,44.1,21.55,84.79,6.71,294.07,rice
84.3,52.6,39.5,22.76,84.93,6.21,270.28,rice
89.8,55.8,35.9,23.97,80.86,5.99,232.98,rice
92.2,47.0,36.2,21.86,91.42,6.11,192.13,rice
72.1,54.0,35.7,25.93,90.59,5.15,190.18,rice
94.7,47.5,38.7,25.88,94.21,6.77,270.41,rice
79.4,41.7,42.8,24.35,86.36,6.63,193.34,rice
82.3,40.2,39.7,21.34,81.78,5.21,257.91,rice
88.7,51.7,44.6,23.25,84.29,6.56,206.83,rice
94.1,40.2,44.7,21.26,93.37,5.95,299.16,rice
71.8,51.1,44.7,24.14,89.44,6.25,234.54,rice
85.7,51.7,44.0,21.27,84.21,6.71,286.83,rice
81.4,52.4,37.8,22.13,86.96,5.64,250.04,rice
71.9,59.5,44.9,25.19,88.04,5.56,277.66,rice
87.1,43.3,44.1,25.94,94.25,6.31,253.61,rice
80.5,58.7,43.7,21.27,80.4,5.68,277.27,rice
94.7,43.0,40.9,23.29,94.55,6.52,280.6,rice
81.7,48.3,37.7,21.34,92.97,6.46,299.97,rice
94.9,51.1,42.7,26.67,92.74,5.45,234.07,rice
73.2,59.1,41.1,22.37,90.08,6.11,222.98,rice
72.8,53.4,40.2,25.63,87.8,6.53,246.23,rice
84.0,57.5,39.0,21.8,80.43,6.36,254.44,rice
87.6,44.3,36.4,21.09,85.26,6.06,227.07,rice
80.9,58.1,38.5,24.08,91.75,5.71,254.65,rice
91.6,59.0,36.5,26.56,87.38,5.46,235.1,rice
